iter	Logloss
0	0.6710870923
1	0.6522199688
2	0.6352844186
3	0.6201079652
4	0.6055700556
5	0.5932699035
6	0.5825686575
7	0.5727887086
8	0.5642852448
9	0.5553657648
10	0.5482741055
11	0.5417314507
12	0.5357027618
13	0.5299000393
14	0.5249202045
15	0.5204867011
16	0.5162185253
17	0.5124962226
18	0.5086763429
19	0.5058668416
20	0.5029147885
21	0.5001647175
22	0.4977148053
23	0.4955018332
24	0.4931075346
25	0.4912344339
26	0.4895638821
27	0.487811585
28	0.4862921767
29	0.4845823303
30	0.4832413005
31	0.4820161271
32	0.4806649599
33	0.4796677835
34	0.4786860932
35	0.4775730649
36	0.4767245132
37	0.4754924625
38	0.474753916
39	0.4741428135
40	0.4733300071
41	0.4727646826
42	0.4717991041
43	0.4712015225
44	0.4707020028
45	0.4698935268
46	0.4692658099
47	0.4686685484
48	0.4682228749
49	0.4679235707
50	0.4673374923
51	0.4668359148
52	0.4660579475
53	0.4656606162
54	0.4652776086
55	0.4648326317
56	0.4643421761
57	0.4640563708
58	0.4634237935
59	0.46310799
60	0.4625902602
61	0.4620323591
62	0.4617400829
63	0.4613698869
64	0.4610565741
65	0.4607041059
66	0.4602896398
67	0.4599566151
68	0.4596938837
69	0.4592096605
70	0.4589444237
71	0.4586826435
72	0.4583446414
73	0.4580712612
74	0.4576635579
75	0.4572038911
76	0.4570367742
77	0.4568506652
78	0.4565886342
79	0.456320979
80	0.4561581865
81	0.4558670593
82	0.4556678079
83	0.4554292479
84	0.4551087914
85	0.4549270536
86	0.4546955055
87	0.4544685272
88	0.4541985939
89	0.4541027012
90	0.4538053075
91	0.4534685918
92	0.4531344877
93	0.4528700813
94	0.4525778983
95	0.4523261395
96	0.4519930996
97	0.451724632
98	0.4515984186
99	0.4513287944
100	0.4511191233
101	0.4509120939
102	0.4506056567
103	0.4503221987
104	0.4500324644
105	0.4497966874
106	0.4496594251
107	0.4493505475
108	0.4491861011
109	0.4489781738
110	0.4489728658
111	0.4487480773
112	0.4485280198
113	0.4483231844
114	0.4479393739
115	0.4478699633
116	0.447702491
117	0.4475996568
118	0.4473307658
119	0.4470078873
120	0.446800925
121	0.4466320274
122	0.4464837955
123	0.4462071381
124	0.4460957747
125	0.4456319013
126	0.4451770849
127	0.4450740789
128	0.4449825897
129	0.4447502751
130	0.4443563299
131	0.4441331691
132	0.4439019703
133	0.4435706833
134	0.4432865644
135	0.4427653167
136	0.4425482926
137	0.4424290567
138	0.4423036022
139	0.4421203522
140	0.4418665959
141	0.4416023359
142	0.4415066172
143	0.4413091537
144	0.441226058
145	0.4410922538
146	0.4410268203
147	0.4405496744
148	0.4404920297
149	0.4403091332
150	0.4401803644
151	0.4400514415
152	0.4397883128
153	0.4394843949
154	0.4393495388
155	0.4390262281
156	0.4388669282
157	0.4385972913
158	0.4384935934
159	0.4383771614
160	0.4380018277
161	0.4378692179
162	0.437605795
163	0.4373055263
164	0.4371788835
165	0.4370635922
166	0.4368905892
167	0.4366018259
168	0.436412984
169	0.4358822902
170	0.4356075297
171	0.4353502585
172	0.4350546447
173	0.4347559497
174	0.4343912692
175	0.4340678198
176	0.4337972903
177	0.4336101898
178	0.4333094491
179	0.4330685775
180	0.4326675239
181	0.4325421281
182	0.43232147
183	0.4321837384
184	0.4318174881
185	0.4313086278
186	0.431123122
187	0.4308209524
188	0.4304638502
189	0.4302308092
190	0.4299182397
191	0.4296582414
192	0.4294120433
193	0.4290587482
194	0.4287608952
195	0.4284448162
196	0.4282127075
197	0.4279674778
198	0.4276231593
199	0.4272640006
