iter	Passed	Remaining
0	3	774
1	7	753
2	11	743
3	15	735
4	18	735
5	22	728
6	26	732
7	30	731
8	34	725
9	37	720
10	41	715
11	45	710
12	49	706
13	52	702
14	56	700
15	60	696
16	64	692
17	68	688
18	71	684
19	75	680
20	79	676
21	83	672
22	86	669
23	90	665
24	94	662
25	98	658
26	102	654
27	106	651
28	109	647
29	113	643
30	117	639
31	121	635
32	125	632
33	128	629
34	132	625
35	136	621
36	141	625
37	145	621
38	149	617
39	153	613
40	157	609
41	160	605
42	164	601
43	168	597
44	172	594
45	177	595
46	181	591
47	185	587
48	189	583
49	193	579
50	197	575
51	200	571
52	204	567
53	208	563
54	212	559
55	215	554
56	219	550
57	223	547
58	227	543
59	231	539
60	234	535
61	238	531
62	242	527
63	246	522
64	249	518
65	253	515
66	257	511
67	261	507
68	264	503
69	269	501
70	275	501
71	281	500
72	285	496
73	289	492
74	292	488
75	296	483
76	300	479
77	304	475
78	308	471
79	311	467
80	315	463
81	319	459
82	323	455
83	327	451
84	330	447
85	334	443
86	340	442
87	344	438
88	349	435
89	355	434
90	360	432
91	365	429
92	369	425
93	373	420
94	377	416
95	381	412
96	384	408
97	388	404
98	392	400
99	396	396
100	399	391
101	403	387
102	407	383
103	411	379
104	414	375
105	418	371
106	422	367
107	427	363
108	430	359
109	434	355
110	436	350
111	440	346
112	444	342
113	448	338
114	452	334
115	456	330
116	460	326
117	463	322
118	467	318
119	471	314
120	475	310
121	478	306
122	482	302
123	486	298
124	490	294
125	493	290
126	497	286
127	501	282
128	505	278
129	508	273
130	512	270
131	516	266
132	520	262
133	524	258
134	528	254
135	532	250
136	537	247
137	541	243
138	545	239
139	548	235
140	552	231
141	556	227
142	560	223
143	563	219
144	567	215
145	571	211
146	575	207
147	578	203
148	582	199
149	586	195
150	590	191
151	593	187
152	597	183
153	601	179
154	605	175
155	609	171
156	612	167
157	616	163
158	620	159
159	624	156
160	627	152
161	637	149
162	641	145
163	645	141
164	649	137
165	653	133
166	656	129
167	660	125
168	664	121
169	668	117
170	671	113
171	675	109
172	679	106
173	683	102
174	687	98
175	692	94
176	696	90
177	700	86
178	703	82
179	707	78
180	711	74
181	715	70
182	719	66
183	723	62
184	726	58
185	730	55
186	737	51
187	740	47
188	744	43
189	748	39
190	752	35
191	756	31
192	759	27
193	763	23
194	767	19
195	771	15
196	775	11
197	779	7
198	782	3
199	786	0
